"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
"1",2023,"Ajaccio","Ligue 1","team",33,30,45.6,32,352,2880,32,21,12,33,15,6,9,76,8,34.4,27.8,21.4,49.1,435,1060,0.66,0.37,1.03,0.47,0.84,1.08,0.67,1.74,0.87,1.54,"https://fbref.com/en/squads/7a54bb4f/Ajaccio-Stats"
"2",2023,"Almería","La Liga","team",29,27.1,45.7,30,330,2700,30,36,24,60,35,1,2,86,3,34.6,33.1,24.3,57.4,457,871,1.2,0.8,2,1.17,1.97,1.15,0.81,1.96,1.1,1.91,"https://fbref.com/en/squads/78ecf4bb/Almeria-Stats"
"3",2023,"Angers","Ligue 1","team",33,26.6,46.2,32,352,2880,32,23,14,37,20,3,3,59,5,36,33.6,24.9,58.5,557,1194,0.72,0.44,1.16,0.62,1.06,1.12,0.78,1.9,1.05,1.83,"https://fbref.com/en/squads/69236f98/Angers-Stats"
"4",2023,"Arsenal","Premier League","team",26,25.3,60.4,32,352,2880,32,74,56,130,71,3,4,46,0,64.1,61.3,47.3,108.6,716,1792,2.31,1.75,4.06,2.22,3.97,2,1.48,3.48,1.92,3.39,"https://fbref.com/en/squads/18bb7c10/Arsenal-Stats"
"5",2023,"Aston Villa","Premier League","team",26,27.8,49.8,32,352,2880,32,43,30,73,40,3,3,62,1,41.8,39.6,32.3,71.8,529,1064,1.34,0.94,2.28,1.25,2.19,1.31,1.01,2.32,1.24,2.25,"https://fbref.com/en/squads/8602292d/Aston-Villa-Stats"
"6",2023,"Atalanta","Serie A","team",25,27.1,50,31,341,2790,31,50,32,82,44,6,8,76,3,47.6,41.1,35.2,76.4,564,1360,1.61,1.03,2.65,1.42,2.45,1.53,1.14,2.67,1.33,2.46,"https://fbref.com/en/squads/922493f3/Atalanta-Stats"
"7",2023,"Athletic Club","La Liga","team",26,28.3,51,30,330,2700,30,41,31,72,38,3,4,62,4,40.9,37.7,31.1,68.8,670,1413,1.37,1.03,2.4,1.27,2.3,1.36,1.04,2.4,1.26,2.29,"https://fbref.com/en/squads/2b390eca/Athletic-Club-Stats"
"8",2023,"Atlético Madrid","La Liga","team",26,29.3,50.3,30,330,2700,30,46,33,79,46,0,0,81,7,46.5,46.5,36.5,82.9,566,1267,1.53,1.1,2.63,1.53,2.63,1.55,1.22,2.76,1.55,2.76,"https://fbref.com/en/squads/db3b9613/Atletico-Madrid-Stats"
"9",2023,"Augsburg","Bundesliga","team",34,26.8,42.5,29,319,2610,29,37,25,62,33,4,5,86,3,30.7,26.8,21,47.8,279,740,1.28,0.86,2.14,1.14,2,1.06,0.72,1.78,0.92,1.65,"https://fbref.com/en/squads/0cdc4311/Augsburg-Stats"
"10",2023,"Auxerre","Ligue 1","team",33,28.2,43.3,32,352,2880,32,27,16,43,20,7,9,48,6,35.5,28.5,22.2,50.7,456,1073,0.84,0.5,1.34,0.62,1.13,1.11,0.69,1.8,0.89,1.58,"https://fbref.com/en/squads/5ae09109/Auxerre-Stats"
"11",2023,"Barcelona","La Liga","team",27,26.6,62.8,30,330,2700,30,54,42,96,54,0,2,70,6,57.7,56.2,44.6,100.8,730,1662,1.8,1.4,3.2,1.8,3.2,1.92,1.49,3.41,1.87,3.36,"https://fbref.com/en/squads/206d90db/Barcelona-Stats"
"12",2023,"Bayern Munich","Bundesliga","team",27,27.4,64.2,29,319,2610,29,77,57,134,75,2,4,45,3,62.7,59.5,48.3,107.8,722,1726,2.66,1.97,4.62,2.59,4.55,2.16,1.66,3.83,2.05,3.72,"https://fbref.com/en/squads/054efa67/Bayern-Munich-Stats"
"13",2023,"Betis","La Liga","team",30,29.2,50.7,30,330,2700,30,36,21,57,28,8,9,65,12,43.5,36.4,28.2,64.6,497,1031,1.2,0.7,1.9,0.93,1.63,1.45,0.94,2.39,1.21,2.15,"https://fbref.com/en/squads/fc536746/Real-Betis-Stats"
"14",2023,"Bochum","Bundesliga","team",26,30.1,46,29,319,2610,29,30,22,52,27,3,3,53,1,34.4,32,23.6,55.6,299,877,1.03,0.76,1.79,0.93,1.69,1.19,0.81,2,1.1,1.92,"https://fbref.com/en/squads/b42c6323/Bochum-Stats"
"15",2023,"Bologna","Serie A","team",27,27.5,53.4,31,341,2790,31,39,32,71,35,4,4,74,2,33.4,30.5,24.5,55,454,1088,1.26,1.03,2.29,1.13,2.16,1.08,0.79,1.87,0.98,1.78,"https://fbref.com/en/squads/1d8099f8/Bologna-Stats"
"16",2023,"Bournemouth","Premier League","team",31,27.1,39.8,32,352,2880,32,31,21,52,31,0,0,57,0,32.7,32.7,23.8,56.5,423,830,0.97,0.66,1.62,0.97,1.62,1.02,0.74,1.77,1.02,1.77,"https://fbref.com/en/squads/4ba7cbea/Bournemouth-Stats"
"17",2023,"Brentford","Premier League","team",25,27,43.6,32,352,2880,32,47,28,75,40,7,8,46,1,47.9,41.7,31.9,73.6,317,953,1.47,0.87,2.34,1.25,2.12,1.5,1,2.49,1.3,2.3,"https://fbref.com/en/squads/cd051869/Brentford-Stats"
"18",2023,"Brest","Ligue 1","team",29,27.3,44.5,32,352,2880,32,34,23,57,29,5,6,53,2,35.7,31,24.7,55.7,503,1079,1.06,0.72,1.78,0.91,1.62,1.12,0.77,1.89,0.97,1.74,"https://fbref.com/en/squads/fb08dbb3/Brest-Stats"
"19",2023,"Brighton","Premier League","team",26,27.4,59.8,29,319,2610,29,50,34,84,45,5,5,38,0,54,50.4,39,89.5,609,1440,1.72,1.17,2.9,1.55,2.72,1.86,1.35,3.21,1.74,3.08,"https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats"
"20",2023,"Celta Vigo","La Liga","team",26,27.7,50.3,30,330,2700,30,34,25,59,32,2,3,65,5,36.7,34.4,26.3,60.7,563,1114,1.13,0.83,1.97,1.07,1.9,1.22,0.88,2.1,1.15,2.02,"https://fbref.com/en/squads/f25da7fb/Celta-Vigo-Stats"
"21",2023,"Chelsea","Premier League","team",32,27.2,58.5,31,341,2790,31,30,21,51,27,3,3,69,3,39.5,37.2,30.2,67.5,645,1388,0.97,0.68,1.65,0.87,1.55,1.28,0.98,2.25,1.2,2.18,"https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats"
"22",2023,"Clermont Foot","Ligue 1","team",27,27.9,48.8,32,352,2880,32,34,20,54,28,6,8,64,4,37.5,31.3,21.2,52.5,449,1119,1.06,0.62,1.69,0.87,1.5,1.17,0.66,1.84,0.98,1.64,"https://fbref.com/en/squads/d9676424/Clermont-Foot-Stats"
"23",2023,"Cremonese","Serie A","team",32,26.7,43.2,31,341,2790,31,27,13,40,23,4,6,74,1,32.6,27.9,20.3,48.2,447,968,0.87,0.42,1.29,0.74,1.16,1.05,0.66,1.71,0.9,1.55,"https://fbref.com/en/squads/9aad3a77/Cremonese-Stats"
"24",2023,"Crystal Palace","Premier League","team",26,27.6,44.5,32,352,2880,32,29,24,53,29,0,2,72,3,31.5,29.9,24.2,54,426,998,0.91,0.75,1.66,0.91,1.66,0.99,0.76,1.74,0.93,1.69,"https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats"
"25",2023,"Cádiz","La Liga","team",36,29.9,41.2,30,330,2700,30,22,14,36,19,3,3,86,7,29.4,27.1,19.5,46.7,365,735,0.73,0.47,1.2,0.63,1.1,0.98,0.65,1.63,0.9,1.56,"https://fbref.com/en/squads/ee7c297c/Cadiz-Stats"
"26",2023,"Dortmund","Bundesliga","team",29,26.5,57.4,29,319,2610,29,64,49,113,61,3,3,60,0,52.7,50.5,40,90.5,602,1340,2.21,1.69,3.9,2.1,3.79,1.82,1.38,3.2,1.74,3.12,"https://fbref.com/en/squads/add600ae/Dortmund-Stats"
"27",2023,"Eint Frankfurt","Bundesliga","team",28,27,51.9,29,319,2610,29,48,28,76,43,5,5,56,1,43.3,39.4,30.4,69.8,522,1142,1.66,0.97,2.62,1.48,2.45,1.49,1.05,2.54,1.36,2.41,"https://fbref.com/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats"
"28",2023,"Elche","La Liga","team",32,29.2,43,30,330,2700,30,20,13,33,16,4,5,87,12,26.2,22.2,17.6,39.9,407,886,0.67,0.43,1.1,0.53,0.97,0.87,0.59,1.46,0.74,1.33,"https://fbref.com/en/squads/6c8b07df/Elche-Stats"
