"","Url","Position","index","Squad","Comp","Name","Age","Nation","Starts_Playing","MP_Playing","Min_Playing","Gls","Ast","G_minus_PK","npxG_Expected","xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Sh_Standard","SoT_Standard","G_per_Sh_Standard","G_per_SoT_Standard","npxG_per_Sh_Expected","Att_Total","Cmp_percent_Total","xA","Final_Third","PPA","CrsPA","SCA_SCA","GCA_GCA","TklW_Tackles","Blocks_Blocks","Int","Tkl+Int","Clr","Tkl_Challenges","Tkl_percent_Challenges","Touches_Touches","Att 3rd_Touches","Att_Take","Succ_Take","Succ_percent_Take","Carries_Carries","Final_Third_Carries","CPA_Carries","Fld","Crs","Won_percent_Aerial"
"1","https://fbref.com/en/players/4f974391/Aaron-Cresswell","Full-Back",2722,"West Ham","Premier League","Aaron Cresswell",33,"ENG",19,22,1761,0,0,0,0.02,0.15,1.43,6.44,3.58,0.41,0.05,0,0,0,60.41,4.01,0.13,3.99,1.33,0.66,3.17,0,0.46,0.92,1.23,2.2,2.4,0.51,2.13,67.51,18.71,0.36,0.1,1.46,31.58,1.07,0.05,0.36,5.93,2.82
"2","https://fbref.com/en/players/1780bb4a/Aaron-Hickey","Full-Back",469,"Brentford","Premier League","Aaron Hickey",20,"SCO",17,19,1407,0,0,0,0.01,0.01,1.86,3.9,2.24,0.45,0.13,0,0,0,37.48,5.25,0.03,3.07,0.51,0.19,0.77,0.06,1.47,0.83,1.02,3.2,1.6,1.09,3.63,47.53,10.3,2.37,0.77,2.07,27.44,0.9,0.06,1.98,1.28,2.56
"3","https://fbref.com/en/players/2f3e911a/Aaron-Martin","Full-Back",1519,"Mainz 05","Bundesliga","Aarón Martín",25,"ESP",17,22,1508,0.18,0.18,0.18,0.07,0.16,1.25,4.6,3.4,0.78,0.24,0.01,0.04,0.01,51.86,4.51,0.18,3.76,1.55,0.9,3.16,0.24,1.31,0.84,0.78,2.69,1.43,0.95,3.82,59.38,19.58,1.01,0.54,3.16,29.3,1.01,0.06,0.6,7.7,0.6
"4","https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale","Goalkeeper",108,"Arsenal","Premier League","Aaron Ramsdale",24,"ENG",31,31,2790,0,0,0,0,0,0,0.23,0,0,0,NA,NA,NA,28.65,2.22,0,0.71,0.06,0,0.06,0,0.03,0,0,0.03,0.48,0.03,3.23,30.84,0,0.03,0.03,3.23,18.68,0.03,0,0.1,0,3.23
"5","https://fbref.com/en/players/ef619b0b/Aaron-Ramsey","Midfielder",1854,"Nice","Ligue 1","Aaron Ramsey",32,"WAL",16,24,1397,0.06,0.06,0.06,0.15,0.1,1.29,7.15,4.77,1.35,0.39,0,0.01,0.01,61.01,5.44,0.13,5.22,1.22,0.19,3.48,0.26,1.48,1.42,1.1,3.99,1.1,0.97,2.84,72.54,20.04,1.42,0.84,3.81,54.5,1.55,0.32,1.03,3.16,2.02
"6","https://fbref.com/en/players/9e525177/Aaron-Wan-Bissaka","Full-Back",1600,"Manchester Utd","Premier League","Aaron Wan-Bissaka",25,"ENG",10,13,919,0,0,0,0.09,0.09,3.04,3.92,4.11,0.59,0.1,0,0,0.01,55.53,8.23,0.08,3.53,0.78,0.2,1.96,0.1,1.66,1.57,1.57,4.02,2.84,1.66,9.24,67.28,18.71,2.35,1.27,5.31,35.45,1.76,0.29,0.2,0.88,4.9
"7","https://fbref.com/en/players/fdbde523/Abdallah-Sima","Winger",92,"Angers","Ligue 1","Abdallah Sima",21,"SEN",15,27,1400,0.19,0,0.19,0.26,0.1,1.74,1.16,7.01,2.06,0.51,0.01,0.02,0.01,18.26,4.66,0.08,0.84,0.39,0.06,1.86,0.32,0.64,0.45,0.19,1.35,0.96,0.32,2.48,29.06,13.76,1.93,0.77,2.57,19.22,0.96,0.71,0.96,0.84,2.67
"8","https://fbref.com/en/players/4830e0af/Abdelhamid-Sabiri","Attacking Midfield",2198,"Sampdoria","Serie A","Abdelhamid Sabiri",26,"MAR",12,17,1051,0.17,0,0.09,0.12,0.12,0.6,4.2,4.62,2.65,0.77,0,0.01,0,39.05,5.73,0.1,3.68,1.03,0,3.51,0,0.6,1.46,0.17,1.63,0.43,0.34,2.64,52.06,21.92,3.25,1.11,2.93,30.57,1.71,0.43,3.17,4.62,4.43
"9","https://fbref.com/en/players/bed68338/Abdessamad-Ezzalzouli","Winger",1900,"Osasuna","La Liga","Abdessamad Ezzalzouli",21,"MAR",14,22,1103,0.24,0.16,0.24,0.16,0.13,5.06,2.69,8.4,2.37,0.82,0.01,0.02,0.01,33.86,5.61,0.22,0.82,1.71,0.65,3.35,0.24,1.06,1.22,0.24,1.8,0.33,0.65,3.84,49.61,28.56,6.77,3.59,4.32,34.11,3.35,2.04,2.45,4.41,1.63
"10","https://fbref.com/en/players/d1b060e2/Abdon-Prats","Forward",1546,"Mallorca","La Liga","Abdón Prats",30,"ESP",1,20,279,0.32,0.32,0.32,0.23,0.45,0.32,2.58,3.55,1.94,1.29,0.05,0.08,0.04,21.94,22.77,0.06,1.29,0.97,0,1.29,0.32,0,1.61,0,0.32,0.65,0,NA,34.52,15.16,1.94,0.65,10.74,18.71,0.32,0.97,1.94,0,5.87
