"","index","Name","Position","Statistic","Value","percentile"
"1",1387,"Adam Armstrong","Forward","Starts_Playing",12,45
"2",1388,"Adolfo Gaich","Forward","Starts_Playing",6,13
"3",1389,"Adrien Hunou","Forward","Starts_Playing",24,87
"4",1390,"Alassane Pléa","Forward","Starts_Playing",18,68
"5",1391,"Aleksandar Mitrović","Forward","Starts_Playing",21,78
"6",1392,"Alexander Isak","Forward","Starts_Playing",10,35
"7",1393,"Alexandre Lacazette","Forward","Starts_Playing",27,96
"8",1394,"Álvaro Morata","Forward","Starts_Playing",18,68
"9",1395,"Álvaro Negredo","Forward","Starts_Playing",8,25
"10",1396,"Amine Salama","Forward","Starts_Playing",12,45
"11",1397,"André Silva","Forward","Starts_Playing",19,71
"12",1398,"Andrea Belotti","Forward","Starts_Playing",5,9
"13",1399,"Andrea Petagna","Forward","Starts_Playing",16,61
"14",1400,"Andrea Pinamonti","Forward","Starts_Playing",22,81
"15",1401,"Andrej Kramarić","Forward","Starts_Playing",20,75
"16",1402,"Ángel Correa","Forward","Starts_Playing",10,35
"17",1403,"Ante Budimir","Forward","Starts_Playing",16,61
"18",1404,"Anthony Lozano","Forward","Starts_Playing",12,45
"19",1405,"Anthony Martial","Forward","Starts_Playing",7,19
"20",1406,"Anthony Modeste","Forward","Starts_Playing",7,19
"21",1407,"Antoine Griezmann","Forward","Starts_Playing",22,81
"22",1408,"Antonio Sanabria","Forward","Starts_Playing",20,75
"23",1409,"Arkadiusz Milik","Forward","Starts_Playing",12,45
"24",1410,"Arnaud Kalimuendo","Forward","Starts_Playing",21,78
"25",1411,"Arthur","Forward","Starts_Playing",12,45
"26",1412,"Ayoze Pérez","Forward","Starts_Playing",8,25
"27",1413,"Bamba Dieng","Forward","Starts_Playing",9,29
"28",1414,"Beto","Forward","Starts_Playing",21,78
"29",1415,"Bevic Moussiti-Oko","Forward","Starts_Playing",7,19
"30",1416,"Borja Iglesias","Forward","Starts_Playing",25,92
"31",1417,"Borja Mayoral","Forward","Starts_Playing",29,100
"32",1418,"Boulaye Dia","Forward","Starts_Playing",21,78
"33",1419,"Breel Embolo","Forward","Starts_Playing",19,71
"34",1420,"Brennan Johnson","Forward","Starts_Playing",29,100
"35",1421,"Callum Wilson","Forward","Starts_Playing",16,61
"36",1422,"Carlos Vinícius","Forward","Starts_Playing",7,19
"37",1423,"Che Adams","Forward","Starts_Playing",22,81
"38",1424,"Christian Kouamé","Forward","Starts_Playing",18,68
"39",1425,"Christopher Nkunku","Forward","Starts_Playing",15,57
"40",1426,"Ciro Immobile","Forward","Starts_Playing",20,75
"41",1427,"Cristhian Stuani","Forward","Starts_Playing",5,9
"42",1428,"Cristiano Ronaldo","Forward","Starts_Playing",4,3
"43",1429,"Cyriel Dessers","Forward","Starts_Playing",18,68
"44",1430,"Daniel Ciofani","Forward","Starts_Playing",6,13
"45",1431,"Danny Ings","Forward","Starts_Playing",8,25
"46",1432,"Danny Welbeck","Forward","Starts_Playing",16,61
"47",1433,"Darwin Núñez","Forward","Starts_Playing",17,66
