"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
"1",2023,"Ajaccio","Ligue 1","team",33,30.1,45.6,31,341,2790,31,21,12,33,15,6,9,74,7,34.2,27.5,21.2,48.7,422,1031,0.68,0.39,1.06,0.48,0.87,1.1,0.68,1.78,0.89,1.57,"https://fbref.com/en/squads/7a54bb4f/Ajaccio-Stats"
"2",2023,"Almería","La Liga","team",29,27.1,45.4,29,319,2610,29,35,24,59,34,1,2,84,3,33.8,32.3,23.8,56.1,439,831,1.21,0.83,2.03,1.17,2,1.17,0.82,1.99,1.11,1.93,"https://fbref.com/en/squads/78ecf4bb/Almeria-Stats"
"3",2023,"Angers","Ligue 1","team",33,26.6,46.6,31,341,2790,31,22,13,35,19,3,3,59,5,34.2,31.8,23.5,55.3,535,1144,0.71,0.42,1.13,0.61,1.03,1.1,0.76,1.86,1.03,1.78,"https://fbref.com/en/squads/69236f98/Angers-Stats"
"4",2023,"Arsenal","Premier League","team",26,25.3,60,31,341,2790,31,71,54,125,68,3,4,45,0,61.6,58.9,45.2,104.1,683,1701,2.29,1.74,4.03,2.19,3.94,1.99,1.46,3.44,1.9,3.36,"https://fbref.com/en/squads/18bb7c10/Arsenal-Stats"
"5",2023,"Aston Villa","Premier League","team",26,27.7,49.6,31,341,2790,31,42,29,71,39,3,3,60,1,40.3,38,30.8,68.8,512,1028,1.35,0.94,2.29,1.26,2.19,1.3,0.99,2.29,1.23,2.22,"https://fbref.com/en/squads/8602292d/Aston-Villa-Stats"
"6",2023,"Atalanta","Serie A","team",25,27.1,50.4,30,330,2700,30,47,31,78,41,6,8,73,3,46.6,40.2,34.6,74.8,548,1338,1.57,1.03,2.6,1.37,2.4,1.55,1.15,2.71,1.34,2.49,"https://fbref.com/en/squads/922493f3/Atalanta-Stats"
"7",2023,"Athletic Club","La Liga","team",26,28.2,51.1,29,319,2610,29,39,29,68,36,3,4,58,4,39.2,36,29.4,65.4,638,1367,1.34,1,2.34,1.24,2.24,1.35,1.01,2.36,1.24,2.25,"https://fbref.com/en/squads/2b390eca/Athletic-Club-Stats"
"8",2023,"Atlético Madrid","La Liga","team",26,29.3,50.7,29,319,2610,29,46,33,79,46,0,0,73,7,45.2,45.2,35.3,80.5,555,1226,1.59,1.14,2.72,1.59,2.72,1.56,1.22,2.77,1.56,2.77,"https://fbref.com/en/squads/db3b9613/Atletico-Madrid-Stats"
"9",2023,"Augsburg","Bundesliga","team",34,26.9,42.6,28,308,2520,28,36,24,60,32,4,5,81,3,30,26.1,20.3,46.5,270,724,1.29,0.86,2.14,1.14,2,1.07,0.73,1.8,0.93,1.66,"https://fbref.com/en/squads/0cdc4311/Augsburg-Stats"
"10",2023,"Auxerre","Ligue 1","team",33,28.2,43.6,31,341,2790,31,26,16,42,20,6,8,48,6,34.1,27.8,21.6,49.4,448,1051,0.84,0.52,1.35,0.65,1.16,1.1,0.7,1.8,0.9,1.59,"https://fbref.com/en/squads/5ae09109/Auxerre-Stats"
"11",2023,"Barcelona","La Liga","team",27,26.6,62.9,29,319,2610,29,53,41,94,53,0,2,66,6,55.9,54.4,42.9,97.3,707,1606,1.83,1.41,3.24,1.83,3.24,1.93,1.48,3.41,1.88,3.36,"https://fbref.com/en/squads/206d90db/Barcelona-Stats"
