"","Name","Position","index","Squad","Comp","Age","Url","Nation","Starts_Playing","MP_Playing","Min_Playing","Gls","Ast","G_minus_PK","npxG_Expected","xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Sh_Standard","SoT_Standard","G_per_Sh_Standard","G_per_SoT_Standard","npxG_per_Sh_Expected","Att_Total","Cmp_percent_Total","xA","Final_Third","PPA","CrsPA","SCA_SCA","GCA_GCA","TklW_Tackles","Blocks_Blocks","Int","Tkl+Int","Clr","Tkl_Challenges","Tkl_percent_Challenges","Touches_Touches","Att 3rd_Touches","Att_Take","Succ_Take","Succ_percent_Take","Carries_Carries","Final_Third_Carries","CPA_Carries","Fld","Crs","Won_percent_Aerial"
"1","Aaron Cresswell","Full-Back",2715,"West Ham","Premier League",33,"https://fbref.com/en/players/4f974391/Aaron-Cresswell","ENG",18,21,1671,0,0,0,0.02,0.15,1.51,6.79,3.72,0.38,0.05,0,0,0,61.83,4.28,0.13,4.2,1.4,0.7,3.07,0,0.43,0.97,1.24,2.1,2.48,0.38,1.98,68.89,18.64,0.38,0.11,1.54,32.53,1.13,0.05,0.32,5.98,2.98
"2","Aaron Hickey","Full-Back",468,"Brentford","Premier League",20,"https://fbref.com/en/players/1780bb4a/Aaron-Hickey","SCO",16,18,1335,0,0,0,0.01,0.01,1.89,3.71,2.29,0.47,0.13,0,0,0,36.88,5.53,0.03,2.83,0.54,0.2,0.81,0.07,1.55,0.88,1.08,3.37,1.62,1.15,3.82,47.06,10.25,2.43,0.74,2.06,27.3,0.88,0.07,2.02,1.35,2.53
"3","Aarón Martín","Full-Back",1514,"Mainz 05","Bundesliga",25,"https://fbref.com/en/players/2f3e911a/Aaron-Martin","ESP",17,21,1492,0.18,0.18,0.18,0.07,0.16,1.27,4.46,3.26,0.78,0.24,0.01,0.05,0.01,51.58,4.56,0.17,3.74,1.51,0.9,3.14,0.24,1.33,0.84,0.78,2.71,1.45,0.97,3.86,59.12,19.36,1.03,0.54,3.19,28.95,0.97,0.06,0.6,7.66,0.67
"4","Aaron Ramsdale","Goalkeeper",108,"Arsenal","Premier League",24,"https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale","ENG",30,30,2700,0,0,0,0,0,0,0.23,0,0,0,NA,NA,NA,28.2,2.26,0,0.73,0.07,0,0.07,0,0.03,0,0,0.03,0.5,0.03,3.33,30.4,0,0.03,0.03,3.33,18.43,0.03,0,0.1,0,3.33
"5","Aaron Ramsey","Midfield",1849,"Nice","Ligue 1",32,"https://fbref.com/en/players/ef619b0b/Aaron-Ramsey","WAL",16,24,1397,0.06,0.06,0.06,0.15,0.1,1.29,7.15,4.77,1.35,0.39,0,0.01,0.01,61.01,5.44,0.13,5.22,1.22,0.19,3.48,0.26,1.48,1.42,1.1,3.99,1.1,0.97,2.84,72.54,20.04,1.42,0.84,3.81,54.5,1.55,0.32,1.03,3.16,2.02
"6","Aaron Wan-Bissaka","Full-Back",1595,"Manchester Utd","Premier League",25,"https://fbref.com/en/players/9e525177/Aaron-Wan-Bissaka","ENG",9,12,829,0,0,0,0.09,0.09,2.61,3.47,3.91,0.54,0.11,0,0,0.02,52.87,9.01,0.08,3.15,0.65,0.22,1.85,0.11,1.74,1.3,1.52,4.02,3.04,1.63,10.18,64.27,17.37,2.06,1.09,5.71,33,1.41,0.33,0.22,0.98,5.11
"7","Abdallah Sima","Winger",92,"Angers","Ligue 1",21,"https://fbref.com/en/players/fdbde523/Abdallah-Sima","SEN",15,26,1377,0.2,0,0.2,0.26,0.09,1.76,1.18,6.86,2.09,0.52,0.01,0.02,0.01,17.84,4.74,0.07,0.78,0.39,0.07,1.83,0.33,0.65,0.39,0.2,1.31,0.98,0.33,2.52,28.69,13.46,1.96,0.78,2.61,18.82,0.98,0.72,0.98,0.85,2.71
"8","Abdelhamid Sabiri","Attacking Midfield",2193,"Sampdoria","Serie A",26,"https://fbref.com/en/players/4830e0af/Abdelhamid-Sabiri","MAR",12,16,1006,0.18,0,0.09,0.11,0.13,0.63,4.2,4.74,2.59,0.81,0,0.01,0,39.18,5.99,0.11,3.67,1.07,0,3.49,0,0.63,1.34,0.18,1.7,0.45,0.36,2.76,52.34,22.37,3.4,1.16,3.06,30.69,1.79,0.45,3.13,4.65,4.55
"9","Abdessamad Ezzalzouli","Winger",1895,"Osasuna","La Liga",21,"https://fbref.com/en/players/bed68338/Abdessamad-Ezzalzouli","MAR",13,21,1029,0.26,0.17,0.26,0.16,0.13,5.34,2.62,8.92,2.45,0.79,0.01,0.03,0.01,34.55,5.91,0.24,0.79,1.75,0.7,3.41,0.26,1.05,1.31,0.26,1.84,0.35,0.61,4.08,50.38,29.39,6.56,3.67,4.9,34.2,3.32,2.19,2.19,4.55,1.25
"10","Abdón Prats","Forward",1541,"Mallorca","La Liga",30,"https://fbref.com/en/players/d1b060e2/Abdon-Prats","ESP",1,20,279,0.32,0.32,0.32,0.23,0.45,0.32,2.58,3.55,1.94,1.29,0.05,0.08,0.04,21.94,22.77,0.06,1.29,0.97,0,1.29,0.32,0,1.61,0,0.32,0.65,0,NA,34.52,15.16,1.94,0.65,10.74,18.71,0.32,0.97,1.94,0,5.87
