"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
"1",2018,"Alavés","La Liga","team",30,25.5,40.3,38,418,3420,38,40,31,71,39,1,3,105,4,454,1045,1.05,0.82,1.87,1.03,1.84,38.5,36.1,27.7,63.8,1.01,0.73,1.74,0.95,1.68,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats"
"2",2018,"Amiens","Ligue 1","team",30,27.5,43.3,38,418,3420,38,36,24,60,33,3,4,72,5,547,1178,0.95,0.63,1.58,0.87,1.5,32.8,29.8,21.3,51.1,0.86,0.56,1.42,0.78,1.35,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats"
"3",2018,"Angers","Ligue 1","team",27,27.1,45.1,38,418,3420,38,41,30,71,37,4,4,68,3,699,1430,1.08,0.79,1.87,0.97,1.76,47.6,44.5,35.3,79.8,1.25,0.93,2.18,1.17,2.1,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats"
"4",2018,"Arsenal","Premier League","team",30,26.8,61.4,38,418,3420,38,73,61,134,69,4,5,NA,NA,915,2223,1.92,1.61,3.53,1.82,3.42,68.3,64.3,53.3,117.6,1.8,1.4,3.2,1.69,3.1,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats"
"5",2018,"Atalanta","Serie A","team",25,25.7,55.4,38,418,3420,38,57,38,95,52,5,9,NA,NA,933,1920,1.5,1,2.5,1.37,2.37,64.1,57.2,44.7,101.8,1.69,1.18,2.86,1.5,2.68,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats"
"6",2018,"Athletic Club","La Liga","team",26,26.7,49.6,38,418,3420,38,39,25,64,33,6,8,93,0,652,1519,1.03,0.66,1.68,0.87,1.53,49.7,43.8,33.7,77.5,1.31,0.89,2.19,1.15,2.04,"https://fbref.com/en/squads/2b390eca/2017-2018/Athletic-Club-Stats"
"7",2018,"Atlético Madrid","La Liga","team",26,26.6,47.5,38,418,3420,38,57,41,98,53,4,5,93,5,703,1460,1.5,1.08,2.58,1.39,2.47,50.2,46.3,36.6,82.9,1.32,0.96,2.28,1.22,2.18,"https://fbref.com/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats"
"8",2018,"Augsburg","Bundesliga","team",27,26.6,45.7,34,374,3060,34,41,30,71,37,4,4,NA,NA,524,1117,1.21,0.88,2.09,1.09,1.97,44.7,41.6,32.3,73.9,1.32,0.95,2.27,1.22,2.17,"https://fbref.com/en/squads/0cdc4311/2017-2018/Augsburg-Stats"
"9",2018,"Barcelona","La Liga","team",25,27.7,62.8,38,418,3420,38,96,74,170,93,3,5,67,2,1025,2151,2.53,1.95,4.47,2.45,4.39,83.5,80.1,64.6,144.7,2.2,1.7,3.9,2.11,3.81,"https://fbref.com/en/squads/206d90db/2017-2018/Barcelona-Stats"
"10",2018,"Bayern Munich","Bundesliga","team",28,27.4,66.1,34,374,3060,34,90,72,162,84,6,8,NA,NA,755,2333,2.65,2.12,4.76,2.47,4.59,75.8,69.8,58.8,128.5,2.23,1.73,3.96,2.05,3.78,"https://fbref.com/en/squads/054efa67/2017-2018/Bayern-Munich-Stats"
"11",2018,"Benevento","Serie A","team",41,26,47.5,38,418,3420,38,32,23,55,30,2,3,NA,NA,772,1216,0.84,0.61,1.45,0.79,1.39,38.3,36,28.8,64.7,1.01,0.76,1.77,0.95,1.7,"https://fbref.com/en/squads/4fcb34fd/2017-2018/Benevento-Stats"
"12",2018,"Betis","La Liga","team",29,27.1,56.9,38,418,3420,38,56,43,99,54,2,3,90,3,736,1506,1.47,1.13,2.61,1.42,2.55,46,43.7,35.2,78.9,1.21,0.93,2.14,1.15,2.08,"https://fbref.com/en/squads/fc536746/2017-2018/Real-Betis-Stats"
"13",2018,"Bologna","Serie A","team",30,26.8,46.8,38,418,3420,38,37,18,55,35,2,3,NA,NA,586,1344,0.97,0.47,1.45,0.92,1.39,36.6,34.3,24.3,58.6,0.96,0.64,1.6,0.9,1.54,"https://fbref.com/en/squads/1d8099f8/2017-2018/Bologna-Stats"
"14",2018,"Bordeaux","Ligue 1","team",31,25.1,50.6,38,418,3420,38,52,36,88,48,4,6,73,2,875,1501,1.37,0.95,2.32,1.26,2.21,51,46.1,35.9,82,1.34,0.94,2.29,1.21,2.16,"https://fbref.com/en/squads/123f3efe/2017-2018/Bordeaux-Stats"
"15",2018,"Bournemouth","Premier League","team",22,26.9,48.1,38,418,3420,38,45,36,81,42,3,3,NA,NA,702,1526,1.18,0.95,2.13,1.11,2.05,38.8,36.4,29.1,65.5,1.02,0.77,1.79,0.96,1.72,"https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats"
"16",2018,"Brighton","Premier League","team",24,27.5,43.7,38,418,3420,38,33,25,58,28,5,7,NA,NA,523,1230,0.87,0.66,1.53,0.74,1.39,37,31.8,26.2,58,0.97,0.69,1.66,0.84,1.53,"https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats"
"17",2018,"Burnley","Premier League","team",24,27.5,43.7,38,418,3420,38,35,26,61,35,0,0,NA,NA,431,1103,0.92,0.68,1.61,0.92,1.61,32.3,32.3,23.6,55.9,0.85,0.62,1.47,0.85,1.47,"https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats"
"18",2018,"Caen","Ligue 1","team",26,27.3,45.5,38,418,3420,38,25,19,44,20,5,8,68,4,598,1548,0.66,0.5,1.16,0.53,1.03,42.8,36.6,29.6,66.3,1.13,0.78,1.91,0.96,1.74,"https://fbref.com/en/squads/74229020/2017-2018/Caen-Stats"
"19",2018,"Cagliari","Serie A","team",29,27.1,45.3,38,418,3420,38,33,21,54,29,4,7,NA,NA,464,1348,0.87,0.55,1.42,0.76,1.32,39.7,34.2,27.4,61.6,1.04,0.72,1.77,0.9,1.62,"https://fbref.com/en/squads/c4260e09/2017-2018/Cagliari-Stats"
"20",2018,"Celta Vigo","La Liga","team",23,25.7,55.7,38,418,3420,38,57,45,102,55,2,3,85,1,724,1595,1.5,1.18,2.68,1.45,2.63,55,52.6,43,95.6,1.45,1.13,2.58,1.39,2.52,"https://fbref.com/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats"
"21",2018,"Chelsea","Premier League","team",26,26.7,55.6,38,418,3420,38,60,42,102,57,3,3,NA,NA,1045,1998,1.58,1.11,2.68,1.5,2.61,54.4,52,41.5,93.5,1.43,1.09,2.52,1.37,2.46,"https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats"
"22",2018,"Chievo","Serie A","team",25,30.3,44.4,38,418,3420,38,36,20,56,35,1,2,NA,NA,554,1358,0.95,0.53,1.47,0.92,1.45,34.1,32.5,25.2,57.7,0.9,0.66,1.56,0.85,1.52,"https://fbref.com/en/squads/cc919b35/2017-2018/Chievo-Stats"
"23",2018,"Crotone","Serie A","team",29,25.6,39.9,38,418,3420,38,38,21,59,36,2,3,NA,NA,472,1250,1,0.55,1.55,0.95,1.5,34.6,32.2,23.4,55.6,0.91,0.62,1.53,0.85,1.46,"https://fbref.com/en/squads/3074d7b1/2017-2018/Crotone-Stats"
"24",2018,"Crystal Palace","Premier League","team",28,27.1,45.2,38,418,3420,38,44,26,70,36,8,10,NA,NA,727,1308,1.16,0.68,1.84,0.95,1.63,53.5,45.9,33.3,79.2,1.41,0.88,2.28,1.21,2.08,"https://fbref.com/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats"
"25",2018,"Dijon","Ligue 1","team",26,26.6,48.4,38,418,3420,38,52,36,88,47,5,5,69,5,659,1320,1.37,0.95,2.32,1.24,2.18,41.6,37.8,29.2,67,1.09,0.77,1.86,1,1.76,"https://fbref.com/en/squads/8dfb7350/2017-2018/Dijon-Stats"
"26",2018,"Dortmund","Bundesliga","team",30,25.9,59.1,34,374,3060,34,62,44,106,59,3,6,NA,NA,733,1712,1.82,1.29,3.12,1.74,3.03,66,61.4,48.9,110.3,1.94,1.44,3.38,1.81,3.24,"https://fbref.com/en/squads/add600ae/2017-2018/Dortmund-Stats"
"27",2018,"Eibar","La Liga","team",27,27.4,52,38,418,3420,38,43,31,74,41,2,3,84,3,635,1468,1.13,0.82,1.95,1.08,1.89,40.9,38.6,30.2,68.8,1.08,0.79,1.87,1.02,1.81,"https://fbref.com/en/squads/bea5c710/2017-2018/Eibar-Stats"
"28",2018,"Eint Frankfurt","Bundesliga","team",28,26.4,47.9,34,374,3060,34,44,34,78,42,2,2,NA,NA,492,1292,1.29,1,2.29,1.24,2.24,42.2,40.9,30.7,71.6,1.24,0.9,2.14,1.2,2.11,"https://fbref.com/en/squads/f0ac8ee6/2017-2018/Eintracht-Frankfurt-Stats"
"29",2018,"Espanyol","La Liga","team",25,26.8,46.9,38,418,3420,38,33,24,57,31,2,3,87,1,532,1276,0.87,0.63,1.5,0.82,1.45,41.1,38.7,27.8,66.4,1.08,0.73,1.81,1.02,1.75,"https://fbref.com/en/squads/a8661628/2017-2018/Espanyol-Stats"
"30",2018,"Everton","Premier League","team",30,26.7,45.5,38,418,3420,38,42,26,68,37,5,8,NA,NA,477,1161,1.11,0.68,1.79,0.97,1.66,40.5,34.1,24.7,58.8,1.07,0.65,1.71,0.9,1.55,"https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats"
"31",2018,"Fiorentina","Serie A","team",27,25,52.6,38,418,3420,38,53,32,85,46,7,8,NA,NA,737,1695,1.39,0.84,2.24,1.21,2.05,54.5,48.3,37.9,86.2,1.43,1,2.43,1.27,2.27,"https://fbref.com/en/squads/421387cf/2017-2018/Fiorentina-Stats"
"32",2018,"Freiburg","Bundesliga","team",29,24.8,44.8,34,374,3060,34,32,21,53,26,6,10,NA,NA,399,1061,0.94,0.62,1.56,0.76,1.38,39.6,31.7,25,56.8,1.16,0.74,1.9,0.93,1.67,"https://fbref.com/en/squads/a486e511/2017-2018/Freiburg-Stats"
"33",2018,"Genoa","Serie A","team",33,27.9,46.3,38,418,3420,38,31,18,49,27,4,5,NA,NA,699,1475,0.82,0.47,1.29,0.71,1.18,43.5,39.6,31.9,71.5,1.15,0.84,1.99,1.04,1.88,"https://fbref.com/en/squads/658bf2de/2017-2018/Genoa-Stats"
